CONTINENTAL AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593,1077,9633366,8628,1657,10157979,7981,1712,10177417,7133,1298,8706805,6665,1366,9220356,7842,1143,9511544,8075,1852,9456516,10013,2320,8494356,8580,1956,9193271,9743,1339,9873769,9795,1368,9830277,9677,1229,8626868,8087,1317,9217296,9036,1348,10171175,10245,1420,10819897,10457,1586,10075301,6669,843,10424519,9398,1401,10922476,11406,1931,11251647,8576,1925,9977651,8296,1442,10232687,8124,1226,10283941,10863,1919,10680150,12227,2500,9611189,9444,1918,9570637,7833,1276,9557668,9242,1382,9614684,13273,2642,8775816,12278,2044,9013038,12023,1433,9189561,11694,1834,9229183,11914,953,8238969,11139,1203,8569822,11273,572,9023913,14483,1190,8810539,11362,661,7934128,10706,552,8431318,10014,400,8956306,10880,510,9237902,15171,1589,8590079,21404,3167,8403431,15394,531,9548608,21880,819,10599436,17109,1249,9601442,18563,2903,9975265,12538,1922,10299565,19682,1585,10416581,15901,477,9578794,16696,493,9935520,13936,290,10202941,10910,262,10002084,22129,287,9291544,21654,199,9354140,15365,115,10002893,20361,120,9844051,18788,140,8677516
DELTA AIR LINES,12292,0,30691987,3231,0,24200394,1386,0,12861,570,0,11484571,634,0,9298752,1546,0,2956649,16399,0,27870231,26246,0,36796401,24642,3,40050497,32820,0,39153662,28276,1,32597931,22605,0,34570464,17722,0,37139292,17602,9,36208900,23777,13,30868044,24793,10,32506060,32040,29,35357057,4991,256,4061138,34388,354,29863259,36471,326,31546560,33387,306,33949408,31642,302,33838031,28325,304,29449621,32658,466,31061602,33166,479,33714771,38643,389,32706490,40939,604,27561992,27149,205,28707710,26777,564,31309829,29451,1406,30361746,24329,1878,25357895,19924,1359,26366,18240,1060,28644455,20416,2374,27642624,22445,1277,24130377,31031,2021,25496756,33809,1254,28164144,28487,1044,27142748,28208,1023,23153402,20145,730,24550823,30608,1036,27524156,28195,763,26752092,23802,656,22640522,18424,704,24546433,29292,921,26763823,30642,1017,25552761,30969,1372,21884456,10505,557,15029156,16313,1473,16549227,16303,2554,15881066,13981,2372,14426780,12987,2359,16090329,18629,2838,17188020,15169,2370,16734131,15458,2836,15722610,8671,2009,16229841,15971,3581,17820084,26821,5585,17500812,27374,5516,15904335,15096,2246,16664534,15377,2243,17401642,19648,2840,17530094,38256,4315,17079253,26099,2779,19067377,22864,2685,21197383,23197,3094,21995159,18494,2185,20650378,27385,2067,20787921,27605,1658,21171870,28817,2331,21718352,46243,3218,19485644,43603,2346,20208431,24072,2512,20871135,29997,3262,19363066,29367,2222,19153925,49703,3799,21267537,29669,1839,21324234,32435,1854,21264376,52039,1730,19530348,42710,2245,18635456,29534,1420,21724341,55258,2191,25248388,50898,933,22777490,39504,652,24042911,55339,662,26293384,69685,952,27353224,47522,1061,24342046,35040,377,24946036,43651,1567,25855692,45221,5519,26604835,54835,8144,24465503,43846,3810,24795631,55767,2667,26968275,69429,4236,26704309,64690,2736,23937587
ENDEAVOR AIR,3642,0,3824655,1181,0,3517547,385,0,1940986,233,0,2013531,77,0,1550894,277,0,404077,3775,0,2964249,6772,0,3780820,6451,0,3850464,8011,0,3767698,4432,0,3113553,4559,2,3446544,5131,0,3518387,4100,1,3617308,3117,4,2709157,,,,,,,644,203,4138695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4958,249,303617,4104,240,3291022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVOY AIR,1150,76,3628897,1422,115,3409015,849,32,2172455,408,30,2164410,747,132,1994013,190,26,847305,1895,281,2863191,2427,544,3703185,3286,561,3361879,4439,537,3751462,3807,490,3137713,3104,453,3303994,3437,161,3388554,4273,61,3415654,3839,59,2943408,,,,,,,40,22,2829910,,,,,,,,,,,,,,,,,,,4279,529,2958349,5596,924,3255510,4485,784,3094217,4749,611,3643382,3340,422,3940167,5351,702,4146074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESSJET AIRLINES,,,,,,,,,,,,,12,0,227234,5,0,115481,669,0,1239445,990,1,1467237,1358,0,1433425,1522,1,1257349,1470,1,1454843,1658,22,1835755,1866,3,2175952,2225,12,2350886,2230,3,2411261,3213,7,2977522,3902,22,3540146,567,42,9355804,7354,507,4137528,8615,641,32044038,9180,937,5445840,8087,847,5498667,7708,757,5175359,8968,996,5757488,9527,962,6328398,12001,1338,6567149,12437,1312,6083566,11856,1247,6968965,10615,1120,7834239,16951,2784,7135969,16093,2810,6805801,13427,1908,7769435,9715,1158,8253891,11602,1593,8226123,13100,1763,7107265,13374,1677,7729179,16699,2009,8193856,14476,1577,7989888,13962,1301,6940687,5857,678,4068518,7699,919,4367314,7985,811,4339911,6434,556,3512336,5306,664,3391575,6489,621,4303947,7358,818,4176099,6420,870,3296038,4824,607,3151179,4747,426,3448058,5730,738,3225197,5119,613,2569898,4321,461,2786163,4798,582,3457303,2966,332,1905479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRONTIER AIRLINES,1489,619,5776460,886,334,5456373,626,223,4812979,167,51,2619595,256,64,2508125,170,45,690113,481,96,4685687,821,249,5764965,893,230,5731264,838,184,5128189,587,168,5128189,895,257,4932227,1790,519,5128189,991,255,4946148,949,188,4416868,860,403,4538268,560,170,4339063,8061,217,8351684,312,167,3582185,450,163,3771280,425,253,4129349,842,274,3614118,379,161,3151585,648,380,3547147,715,390,3201831,699,253,2962152,682,209,2632410,1206,441,3125104,1069,540,3323385,934,349,2937116,655,286,2401997,924,319,2665493,1169,416,2842615,908,357,2589674,492,180,2264114,426,105,2537924,1059,333,2779046,798,261,2597591,399,109,2409538,1108,212,2721582,1297,330,3045475,1201,246,2638684,837,233,2090355,784,188,2241300,2428,694,2606366,2202,750,2483643,1335,476,2014717,1155,297,2201707,2708,601,2646678,2123,639,2476619,632,232,2094048,1121,327,2348314,1053,173,2869297,1115,150,2771920,1147,333,2507991,1077,196,2458627,1148,164,2842192,1311,255,2921301,1095,354,2214518,644,113,2249061,583,47,2635897,829,146,2606079,510,144,2165124,213,56,2096971,119,38,2220146,213,58,2111042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAIIAN AIRLINES,2,0,2047990,10,0,1717710,3,0,201737,8,0,469717,14,0,320241,30,0,176278,125,1,2185709,101,0,2674636,34,0,2828870,39,0,2742590,72,0,2615452,326,6,2680823,274,3,2802150,345,2,2804422,160,2,2676265,408,9,2710707,77,15,2943133,11976,2642,40991267,113,55,2649691,126,19,2669657,104,10,2854932,59,18,2700783,37,2,2599123,70,8,2608124,124,12,2775894,54,2,2605895,110,7,2472431,78,0,2507376,92,81,2671867,102,10,2505196,94,25,2400372,167,44,2405889,199,21,2644328,449,56,2481456,332,51,2397157,219,41,2410551,325,36,2518738,169,11,2328787,174,80,2218145,225,55,2152144,171,3,2266535,146,9,2151581,83,25,2089095,118,2,2097578,37,0,2251990,101,6,2075548,109,28,1999172,41,7,2066495,36,0,2202143,14,1,2080657,82,14,1995333,77,7,1920675,42,11,2049060,45,20,2153980,153,16,1732996,220,18,1767774,41,3,1879970,392,13,1776049,408,85,1674816,340,38,1610807,588,0,1604739,641,27,1526360,647,14,1460757,844,16,1481486,872,8,1549659,685,9,1432005,744,5,1376667,650,8,1323363,833,4,1458091,690,38,1412211,897,68,1399228,284,109,1416878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDEPENDENCE AIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,391372,3,0,431013,0,1,372767,4,0,202371,2,0,37236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORIZON AIR,459,50,1899889,706,57,1730321,126,15,1111080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3392,1519,5838917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JETBLUE AIRWAYS,901,24,7813396,463,3,6993996,81,16,3875067,62,0,2560789,9,0,1433931,29,0,583894,250,2,7303799,637,16,9504092,785,8,9760018,641,7,9851842,721,23,9061253,487,13,9351646,612,7,9824474,557,9,9893611,844,7,8927623,432,3,8936805,529,18,9129180,10931,1064,24401584,553,1415,8770054,439,1036,8719175,480,1313,8951162,295,799,8795633,488,28,8244033,598,21,8168250,358,8,8318476,266,5,8105136,619,39,7357389,407,30,7350027,851,526,7727979,279,70,7489539,469,24,6696787,145,1,6831371,61,2,7381669,126,15,7188445,170,1,6765266,54,13,6573215,77,10,7138623,114,12,6832293,0,4,6371852,56,11,6291058,16,3,7015965,9,0,6622343,14,12,6038693,21,12,6039231,1,3,6572961,4,0,6113408,27,7,5528333,5,2,5456842,4,0,6011251,23,7,5690972,1,0,5108284,7,5,5108284,25,3,5637086,3,5,5637086,23,9,5518098,10,3,5180468,3,7,5528265,0,14,5587025,0,19,5090815,10,29,4931609,20,34,4773316,26,58,4524719,17,5,4334914,6,0,3850507,1,0,3782567,10,0,3695906,15,0,3400086,8,0,3178517,8,9,3033338,0,6,2920697,12,2,2650073,4,0,2377510,5,0,2413505,6,0,2209920,4,0,2010617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
